park_id,season,effect,n_pa,component,n_components
BOS05,1910,0.014680278829277556,4839,0,2
CHI08,1910,-0.015261702294095842,4951,0,2
CIN06,1910,0.013170349702288897,4925,0,2
NYC10,1910,0.007340285015566458,5240,0,2
NYC12,1910,-0.0163119809130934,5129,0,2
PHI09,1910,-0.006032646594500495,4500,0,2
PIT06,1910,0.0012773186524399683,4297,0,2
STL05,1910,0.0021190424469528977,3076,0,2
BOS06,1910,0.0014877337399756105,4791,1,2
CHI09,1910,-0.04306888949934443,1618,1,2
CHI10,1910,-0.029317079617971153,3155,1,2
CLE06,1910,0.015632205778285325,4132,1,2
DET02,1910,0.0075810174163816356,4313,1,2
NYC13,1910,0.01634619225880674,4691,1,2
PHI11,1910,0.003448953509751437,4608,1,2
STL07,1910,-0.015270256012709357,3853,1,2
WAS08,1910,0.005929774289649144,4052,1,2
BOS06,1911,-0.008253120777773824,5016,0,2
CHI10,1911,-0.005988939543487906,5232,0,2
CLE06,1911,0.0024580096220297846,5318,0,2
DET02,1911,0.008811542166556042,5178,0,2
NYC13,1911,0.0035229798109814056,10566,0,2
PHI11,1911,-0.005291976310254942,5343,0,2
WAS09,1911,0.0009408232649996662,5405,0,2
BOS05,1911,0.017941841017779975,5323,1,2
CHI08,1911,-0.009251917338834813,5995,1,2
CIN06,1911,-0.003289560591697768,5841,1,2
NYC12,1911,-0.013469884430625557,4955,1,2
PHI09,1911,0.010842612139631799,5418,1,2
PIT06,1911,0.005950259901773886,5370,1,2
STL07,1911,-0.004132497486759193,10836,1,2
BOS07,1912,-0.002620346712939444,5521,0,2
CHI10,1912,-0.004908291631015175,5331,0,2
CLE06,1912,0.00042629153262080193,5284,0,2
DET04,1912,-0.00631386468802398,5406,0,2
NYC13,1912,0.024357931710789215,5159,0,2
NYC14,1912,0.0027517988085590125,5580,0,2
PHI11,1912,0.00042842089769671795,5107,0,2
STL07,1912,-0.004039667326376479,5587,0,2
WAS09,1912,-0.008949724063162117,5377,0,2
BOS05,1912,0.010671178981214748,6095,1,2
CHI08,1912,0.00544871419128552,5761,1,2
CIN07,1912,-0.01352748647680648,5565,1,2
NYC12,1912,-0.006538533243971985,5602,1,2
PHI09,1912,0.004256699311374649,5498,1,2
PIT06,1912,-0.003066114807879949,5369,1,2
STL05,1912,0.0014396432916069053,5930,1,2
CHI10,1913,-0.016517707746419964,5275,0,2
CLE06,1913,0.010767361224341203,5666,0,2
DET04,1913,-0.00112906200668072,5334,0,2
NYC14,1913,0.0003958010065003314,11334,0,2
PHI11,1913,0.007923430899055723,5405,0,2
STL07,1913,-0.007279963320796947,4916,0,2
WAS09,1913,0.003929421394216817,5248,0,2
BOS05,1913,-0.015670913884076636,5345,1,2
BOS07,1913,0.005276716990491986,5842,1,2
CHI08,1913,0.0036707467673817167,5539,1,2
CIN07,1913,0.004780628228181217,5581,1,2
NYC15,1913,-0.0021944060071273433,5668,1,2
PHI09,1913,0.013506147554853298,5880,1,2
PIT06,1913,-0.004981590334933483,5445,1,2
STL05,1913,-0.006604124841280279,5138,1,2
BOS05,1914,0.008031639051001967,3706,0,2
BOS07,1914,-0.009605124901596252,7646,0,2
CHI08,1914,-0.0035825488631491317,5541,0,2
CIN07,1914,0.004905739459812144,5003,0,2
NYC14,1914,-0.0008441419632119131,11256,0,2
NYC15,1914,0.006272417772490794,5859,0,2
PHI09,1914,0.020592561917320222,5748,0,2
PIT06,1914,-0.022492582463839172,5545,0,2
STL05,1914,0.0031603615440220405,5724,0,2
CHI10,1914,8.866606480838939e-05,5658,1,2
CLE06,1914,0.009930191808565254,5672,1,2
DET04,1914,-0.0008181986839575759,5763,1,2
PHI11,1914,-0.0015670571654763182,5518,1,2
STL07,1914,-0.00038025809733134575,5852,1,2
WAS09,1914,-0.007519720950499474,5484,1,2
BOS07,1915,-0.007964631273218684,9115,0,2
CHI10,1915,0.0024221758479702564,5664,0,2
CLE06,1915,0.0005555944889224571,5414,0,2
DET04,1915,0.018558375093592445,5629,0,2
NYC14,1915,-0.0007440852995323825,11200,0,2
PHI11,1915,0.007221158119080443,4712,0,2
STL07,1915,-0.006713193463529856,5440,0,2
WAS09,1915,-0.006722542038646358,5618,0,2
BOS08,1915,-0.020760346355121587,1774,1,2
CHI08,1915,-0.0004509225887654549,5644,1,2
CIN07,1915,-0.009363507103541427,5637,1,2
NYC15,1915,-0.0006129363172445946,5685,1,2
PHI09,1915,0.010395062978137404,5380,1,2
PIT06,1915,-0.0011917062088780048,5614,1,2
STL05,1915,0.007842706416332331,5917,1,2
CHI11,1916,0.010543383136607808,5936,0,2
CIN07,1916,0.009591487160662177,5572,0,2
NYC14,1916,-0.006731077165242794,11375,0,2
NYC15,1916,-0.0031229106209514673,5606,0,2
PHI09,1916,-0.0011169454116125139,5569,0,2
PIT06,1916,-0.004872049957824793,5823,0,2
STL05,1916,0.0023008499069861513,5491,0,2
BOS07,1916,-0.011943212140151316,5552,1,2
BOS08,1916,-0.018678748880781585,5686,1,2
CHI10,1916,0.006773433915697071,5535,1,2
CLE06,1916,0.012833450236050082,5741,1,2
DET04,1916,0.012033604774791247,5757,1,2
PHI11,1916,0.002896407732244347,5228,1,2
STL07,1916,-0.0018248296954215264,5736,1,2
WAS09,1916,-0.002134164200814658,5906,1,2
BOS07,1917,0.0023500981282757114,5877,0,2
CHI10,1917,-0.015066947643104317,5782,0,2
CLE06,1917,0.01933970038389191,5762,0,2
DET04,1917,0.0007391321571021937,5740,0,2
PHI11,1917,0.0013360125099966353,5605,0,2
STL07,1917,-0.0020788916534425373,5860,0,2
WAS09,1917,-0.006388343955672576,5898,0,2
BOS08,1917,-0.0011688148722460365,5548,1,2
CHI11,1917,0.0022239016182677407,5606,1,2
