park_id,season,effect,n_pa,component,n_components
BOS06,1911,-0.0003528548746318085,3288,0,2
CHI10,1911,-0.001018614259286647,3621,0,2
CLE06,1911,0.006179276124407834,2993,0,2
DET02,1911,0.0065850402129220605,3472,0,2
NYC13,1911,0.0003361216586173603,8485,0,2
PHI11,1911,-0.014222326901510941,4062,0,2
WAS09,1911,0.005533470274005829,3327,0,2
BOS05,1911,0.014995495141927754,3711,1,2
CHI08,1911,-0.008257643044462748,4631,1,2
CIN06,1911,-0.007095597177653169,4337,1,2
NYC12,1911,-0.0036346680314128244,3555,1,2
PHI09,1911,0.006807902379699282,3973,1,2
PIT06,1911,0.0033775011663899263,3627,1,2
STL07,1911,-0.0017705879976420901,7348,1,2
BOS07,1912,0.002128192529980332,4025,0,2
CHI10,1912,-0.007292542014353468,3822,0,2
CLE06,1912,0.005435397423773739,3960,0,2
DET04,1912,-0.011182870779543257,3385,0,2
NYC13,1912,0.019496175770804244,3730,0,2
NYC14,1912,0.005176357406020172,4355,0,2
PHI11,1912,-0.0020433820193125406,3725,0,2
STL07,1912,-0.0006531028702224835,3564,0,2
WAS09,1912,-0.012573013927279223,3952,0,2
BOS05,1912,0.006108985811913861,4598,1,2
CHI08,1912,0.01070052123555477,4290,1,2
CIN07,1912,-0.015957282526805783,4797,1,2
NYC12,1912,-0.004491030439179002,4093,1,2
PHI09,1912,0.012365057177864701,3565,1,2
PIT06,1912,-0.0028590794934482905,4152,1,2
STL05,1912,-0.0022214365203611667,5076,1,2
CHI10,1913,-0.008057997010735575,3701,0,2
CLE06,1913,0.009677157225498171,4757,0,2
DET04,1913,0.0008784405035839708,4061,0,2
NYC14,1913,-0.001952363869368293,9871,0,2
PHI11,1913,-0.0010127291933620854,4238,0,2
STL07,1913,-0.009898461110040726,3875,0,2
WAS09,1913,0.010206183096971138,4129,0,2
BOS05,1913,-0.021412204758731304,3965,1,2
BOS07,1913,0.011242197837520427,4117,1,2
CHI08,1913,0.0026155098826856965,5032,1,2
CIN07,1913,0.0052042465162459505,4434,1,2
NYC15,1913,-0.0003273658551369964,5031,1,2
PHI09,1913,0.01348927129883428,5302,1,2
PIT06,1913,-0.0008097363633645959,4495,1,2
STL05,1913,-0.014355886975564794,4448,1,2
BOS05,1914,0.0045555177602117965,3130,0,2
BOS07,1914,-0.003472655402582367,6132,0,2
CHI08,1914,-0.004978497284037412,5029,0,2
CIN07,1914,0.005791068768515746,4135,0,2
NYC14,1914,-0.0034583068462858834,9967,0,2
NYC15,1914,0.005681809898168227,5127,0,2
PHI09,1914,0.021778971235116663,4238,0,2
PIT06,1914,-0.019930782826606423,3911,0,2
STL05,1914,-0.00018153324743903129,4877,0,2
CHI10,1914,-0.0009130162089518996,4160,1,2
CLE06,1914,0.00445544223191212,3797,1,2
DET04,1914,-0.001967065975823507,4344,1,2
PHI11,1914,-0.007918147357980614,4503,1,2
STL07,1914,0.0052280673026650175,4683,1,2
WAS09,1914,0.0013976162355969724,4721,1,2
BOS07,1915,-0.0046691073528506944,8038,0,2
CHI10,1915,-0.005887456309389753,4988,0,2
CLE06,1915,0.0036504573186349793,4708,0,2
DET04,1915,0.017236410784989005,4881,0,2
NYC14,1915,-0.0016659468612961847,9859,0,2
PHI11,1915,0.000811251430731269,3501,0,2
STL07,1915,-0.006432204166733875,4394,0,2
WAS09,1915,0.0016259034218350957,4568,0,2
BOS08,1915,-0.01969017825739044,1339,1,2
CHI08,1915,0.0030413780475963726,5178,1,2
CIN07,1915,-0.0069150679576225355,4767,1,2
NYC15,1915,-0.00428450491351281,4957,1,2
PHI09,1915,0.01086096106183212,4482,1,2
PIT06,1915,-0.004146873625093422,3952,1,2
STL05,1915,0.006762771320935352,4810,1,2
CHI11,1916,0.011639355845282083,4918,0,2
CIN07,1916,0.011788233884332302,4972,0,2
NYC14,1916,-0.0083926652500767,10260,0,2
NYC15,1916,0.00014918085892171094,5169,0,2
PHI09,1916,-0.0005221335577528034,5059,0,2
PIT06,1916,-0.006935020438177932,4814,0,2
STL05,1916,0.0011735180460142908,4696,0,2
BOS07,1916,-0.009880592719414289,5320,1,2
BOS08,1916,-0.021349540266478607,4901,1,2
CHI10,1916,0.0031303344363370817,5065,1,2
CLE06,1916,0.013695491146906536,4893,1,2
DET04,1916,0.009637250701583177,5087,1,2
PHI11,1916,-0.002355847250316558,4211,1,2
STL07,1916,0.0034833457573383063,5267,1,2
WAS09,1916,0.0030514577656658055,5532,1,2
BOS07,1917,0.004316810270636417,5650,0,2
CHI10,1917,-0.021162670645650177,5331,0,2
CLE06,1917,0.020234608117657368,5665,0,2
DET04,1917,0.0016788676978211842,5487,0,2
PHI11,1917,-0.002276516477744047,5216,0,2
STL07,1917,0.0006892958612533294,5246,0,2
WAS09,1917,-0.004713507898252126,5761,0,2
BOS08,1917,-0.001685922400532985,4864,1,2
CHI11,1917,0.00557409173920923,4647,1,2
CIN07,1917,0.00644461569886833,4267,1,2
NYC14,1917,-0.008316738804216708,10351,1,2
NYC15,1917,0.010756324741460623,5341,1,2
PHI09,1917,0.009129781739405039,4930,1,2
