park_id,season,pos,n_first,outs,exp_outs,chances,errors,exp_errors,park_bip,park_first
ACY01,1926,1,55.0,0.0,0.21683984823355715,0.0,0.0,0.0,178.0,82.0
ACY01,1927,1,147.0,0.0,0.6510217907478968,0.0,0.0,0.0,273.0,201.0
BAL10,1914,1,4612.0,49.0,41.142296029966914,309.0,18.0,16.97928072858676,4771.0,2851.0
BAL10,1915,1,4565.0,50.0,39.434350834774236,339.0,17.0,17.81374033533445,4627.0,2835.0
BAL13,1924,1,107.0,0.0,0.3053682037514458,0.0,0.0,0.0,272.0,184.0
BAL13,1926,1,35.0,0.0,0.0,0.0,0.0,0.0,59.0,41.0
BOS05,1910,1,4570.0,38.0,29.13024951304442,154.0,8.0,8.360273987141955,4826.0,2577.0
BOS05,1911,1,4868.0,45.0,35.501926944126424,179.0,15.0,9.509956187018663,4920.0,2650.0
BOS05,1912,1,4967.0,36.0,40.764164946671826,264.0,18.0,14.12124662233959,5078.0,2957.0
BOS05,1913,1,4311.0,32.0,34.30479004430136,282.0,26.0,14.721924832283477,4335.0,2373.0
BOS05,1914,1,2957.0,26.0,23.741033010703582,158.0,14.0,8.46194881549425,2957.0,1568.0
BOS06,1903,1,153.0,0.0,1.737124489528563,0.0,0.0,0.0,215.0,162.0
BOS06,1910,1,4508.0,50.0,42.283159708243396,317.0,17.0,19.92414033963159,4700.0,2903.0
BOS06,1911,1,4423.0,32.0,41.63509990771467,220.0,25.0,15.280949755972522,4527.0,2235.0
BOS07,1912,1,4856.0,38.0,46.743051901219644,346.0,14.0,21.488778734811554,4937.0,2708.0
BOS07,1913,1,4774.0,36.0,37.62166681930744,324.0,23.0,21.41224817955816,4843.0,2627.0
BOS07,1914,1,6411.0,49.0,54.4710324050491,433.0,35.0,29.17932436686551,6479.0,3737.0
BOS07,1915,1,7490.0,74.0,69.36891761307169,563.0,22.0,32.22893735687535,7541.0,4680.0
BOS07,1916,1,4572.0,65.0,46.447845793027085,436.0,21.0,25.013529390718254,4586.0,3004.0
BOS07,1917,1,4887.0,49.0,49.35010832359773,368.0,15.0,20.763665602774246,4901.0,2838.0
BOS07,1918,1,4181.0,37.0,44.7504233185115,335.0,27.0,17.48250969573842,4249.0,2157.0
BOS07,1919,1,4003.0,41.0,39.021466476963106,285.0,21.0,15.561140577863458,4058.0,2186.0
BOS07,1920,1,4881.0,46.0,46.74020827694089,296.0,18.0,18.107390318934264,4903.0,2592.0
BOS07,1921,1,4902.0,51.0,49.88959488570654,351.0,18.0,20.64336629576983,4985.0,2969.0
BOS07,1922,1,4771.0,31.0,45.04235725915199,279.0,14.0,15.347394386085766,4771.0,2508.0
BOS07,1923,1,4902.0,38.0,45.50970839500317,309.0,12.0,16.336855022053825,5084.0,3205.0
BOS07,1924,1,4923.0,51.0,45.61434821276514,280.0,11.0,13.872628531018396,5050.0,3012.0
BOS07,1925,1,4843.0,39.0,49.77215937975333,245.0,10.0,11.741763844863794,5014.0,2796.0
BOS07,1926,1,4897.0,51.0,48.6094376612007,296.0,12.0,13.874857113200806,4985.0,3257.0
BOS07,1927,1,4961.0,37.0,46.79977225249698,281.0,9.0,12.94470184645142,5076.0,3156.0
BOS07,1928,1,4641.0,56.0,41.99691604935574,253.0,12.0,12.717213425947596,4769.0,3063.0
BOS07,1929,1,3865.0,41.0,40.677521252863485,223.0,4.0,11.059713139272318,3971.0,2427.0
BOS08,1915,1,1539.0,18.0,13.14537667812376,125.0,2.0,6.387867969502444,1539.0,1117.0
BOS08,1916,1,4810.0,51.0,44.739361418447714,499.0,19.0,24.62434517703477,4835.0,3259.0
BOS08,1917,1,4562.0,34.0,43.974397898955715,367.0,16.0,17.803320100887223,4566.0,2379.0
BOS08,1918,1,3268.0,30.0,28.50382326516698,229.0,4.0,10.126684985244964,3317.0,1803.0
BOS08,1919,1,4385.0,39.0,35.163671293078224,363.0,11.0,16.520981751105413,4414.0,2792.0
BOS08,1920,1,4790.0,33.0,38.058510530880014,377.0,16.0,17.666642019445984,4866.0,2954.0
BOS08,1921,1,4784.0,39.0,37.05606459580579,386.0,19.0,20.57921299857793,4858.0,3033.0
BOS08,1922,1,4740.0,30.0,36.88607997918002,320.0,13.0,15.366280716734813,4854.0,2988.0
BOS08,1923,1,5127.0,42.0,47.36232477112189,331.0,13.0,13.590244038766071,5188.0,3553.0
BOS08,1924,1,5010.0,47.0,53.27076727119921,225.0,4.0,9.481650785202243,5064.0,3182.0
BOS08,1925,1,4867.0,41.0,49.80694181451305,259.0,13.0,11.153177137774463,4957.0,3013.0
BOS08,1926,1,4935.0,51.0,50.481355432738305,335.0,12.0,14.91312029619266,4950.0,3358.0
BOS08,1927,1,4883.0,50.0,44.83508903071859,301.0,12.0,12.493978367833277,4988.0,3397.0
BOS08,1928,1,5022.0,50.0,47.919282150746334,287.0,15.0,10.65874426583027,5116.0,3087.0
BOS08,1929,1,6196.0,59.0,60.897996898208866,335.0,16.0,13.924717183658165,6208.0,3473.0
BRA01,1926,1,25.0,0.0,0.0,0.0,0.0,0.0,53.0,40.0
BUF04,1914,1,4346.0,42.0,33.855218311828864,349.0,17.0,23.23987132259768,4522.0,3034.0
BUF04,1915,1,4497.0,33.0,37.309110361304484,333.0,14.0,20.508973775126705,4543.0,2899.0
CAM02,1903,1,0.0,0.0,0.0,0.0,0.0,0.0,123.0,11.0
CHI08,1906,1,151.0,3.0,2.1796617699512724,15.0,2.0,0.8809962018858299,151.0,112.0
CHI08,1907,1,167.0,4.0,1.4048489023994175,7.0,0.0,0.41512325551062995,185.0,132.0
CHI08,1908,1,108.0,0.0,0.7905673124012207,2.0,0.0,0.12054910656058432,108.0,81.0
CHI08,1910,1,4564.0,37.0,35.10518734811747,238.0,12.0,15.172853619040616,4738.0,2766.0
CHI08,1911,1,4804.0,39.0,37.80286934945882,259.0,19.0,15.215810950703482,4970.0,3255.0
CHI08,1912,1,4631.0,38.0,39.369021404354555,312.0,18.0,17.497303167748463,4665.0,3051.0
CHI08,1913,1,4504.0,32.0,37.21736408203332,271.0,17.0,16.284241445823838,4536.0,2927.0
CHI08,1914,1,4494.0,36.0,39.06086838263349,357.0,23.0,20.839022764077875,4500.0,2954.0
CHI08,1915,1,4614.0,27.0,38.41793515910917,288.0,19.0,15.392965926995213,4636.0,2820.0
CHI09,1906,1,155.0,5.0,2.0815258640891057,12.0,0.0,0.6353058475232066,176.0,133.0
CHI09,1910,1,1676.0,23.0,18.984685688826115,169.0,6.0,10.826757679988534,1676.0,992.0
CHI09,1913,1,0.0,0.0,0.0,0.0,0.0,0.0,529.0,217.0
CHI09,1916,1,0.0,0.0,0.0,0.0,0.0,0.0,99.0,74.0
CHI09,1921,1,20.0,0.0,0.0,0.0,0.0,0.0,208.0,156.0
CHI09,1922,1,0.0,0.0,0.0,0.0,0.0,0.0,103.0,90.0
CHI09,1924,1,133.0,1.0,0.7524003302261458,0.0,0.0,0.0,255.0,176.0
CHI09,1925,1,182.0,0.0,0.9626080368167023,0.0,0.0,0.0,252.0,5.0
CHI09,1926,1,293.0,1.0,1.080969352141762,0.0,0.0,0.0,545.0,188.0
CHI09,1927,1,95.0,1.0,0.02382908792111751,0.0,0.0,0.0,243.0,159.0
CHI10,1910,1,2785.0,29.0,27.666175476010245,216.0,13.0,13.583955988422915,2839.0,1523.0
CHI10,1911,1,4660.0,62.0,44.32341599253805,291.0,19.0,17.736833189379936,4692.0,2818.0
CHI10,1912,1,4509.0,39.0,45.38435514797758,339.0,27.0,22.16507855256389,4635.0,3067.0
CHI10,1913,1,4411.0,56.0,38.272624387965266,408.0,18.0,25.718514906960962,4454.0,2976.0
CHI10,1914,1,4689.0,45.0,39.22131630610571,395.0,26.0,27.30703759825886,4699.0,2806.0
CHI10,1915,1,4713.0,36.0,40.2839902524373,387.0,26.0,24.405463778449658,4717.0,2806.0
CHI10,1916,1,4552.0,43.0,40.73775263320111,373.0,27.0,22.60763536779437,4602.0,2738.0
CHI10,1917,1,4920.0,48.0,44.62606857457011,368.0,25.0,22.757405979221254,4971.0,2773.0
CHI10,1918,1,3724.0,32.0,33.69502733590327,233.0,9.0,15.260765834705236,3736.0,2108.0
CHI10,1919,1,4534.0,36.0,40.36677635353333,304.0,20.0,20.21292350520098,4602.0,2738.0
CHI10,1920,1,4966.0,38.0,44.09165672132444,306.0,20.0,16.689448983119547,5022.0,3084.0
CHI10,1921,1,4836.0,43.0,42.338102446564214,282.0,16.0,15.07083864070928,5222.0,3194.0
CHI10,1922,1,4956.0,56.0,42.2146441482346,320.0,5.0,16.23973708970093,5029.0,3358.0
