park_id,split,se,n_hi,n_lo,name
ANA01,-0.003207284206027735,0.0017263185087747596,143593,211059,Angel Stadium of Anaheim
ARL01,-0.0022975668959454537,0.0028373198784080937,53386,77642,Arlington Stadium
ARL02,-0.0005225826663775579,0.0025471035025392908,69069,90935,Rangers Ballpark in Arlington
ARL03,0.0036263218842619207,0.005781564787311664,13310,17818,Globe Life Field in Arlington
ATL01,0.0012189872478405462,0.0024333501831236923,69105,113898,Atlanta-Fulton County Stadium
ATL02,0.00045189855662422637,0.002933163500857438,52089,68564,Turner Field
ATL03,-0.007961187039271157,0.0045977251739107395,20551,29115,Suntrust Park
BAL11,0.0025714125239331698,0.0022210651196451743,81466,140931,Memorial Stadium
BAL12,0.00011174328006529092,0.002281869983208411,85291,114662,Oriole Park at Camden Yards
BOS05,-0.005250791248296173,0.006559209201551083,9442,15866,South End Grounds III
BOS07,-0.00895944020000436,0.0012547641111901493,267480,409221,Fenway Park
BOS08,-0.004462142619414751,0.002258552492923435,79955,132924,Braves Field
CHI08,0.003617606216869322,0.005649788720121438,13154,20277,West Side Grounds
CHI10,-0.0021370630848608733,0.0015169884664996138,182203,281860,Comiskey Park I
CHI11,-0.0039938350267759055,0.0012909678079503978,247565,399230,Wrigley Field
CHI12,-0.004501311655745014,0.0022761753703961483,82229,122208,Guaranteed Rate Field;U.S. Cellular Field
CIN07,8.692875238360594e-05,0.0018082828338584888,123338,211330,Crosley Field
CIN08,0.004396602487812196,0.0023458780415105806,76877,116263,Cinergy Field
CIN09,0.0013653210862905798,0.00279853048068659,54541,80529,Great American Ballpark
CLE06,0.016414176857848413,0.002430010245360261,74791,101873,League Park IV
CLE07,-0.003976000202297333,0.0018492027785974444,122393,190222,Cleveland Stadium
CLE08,0.007848332922362403,0.0023321934212899836,91408,95991,Progressive Field
DEN02,-0.007613402213520023,0.0023603372216482333,76974,112552,Coors Field
DET04,0.001175871686548936,0.001426066766756638,211863,306233,Tiger Stadium
