park_id,season,pa
ANA01,1966,6142
ANA01,1967,6052
ANA01,1968,5993
ANA01,1969,6026
ANA01,1970,6080
ANA01,1971,6023
ANA01,1972,5874
ANA01,1973,6117
ANA01,1974,6046
ANA01,1975,6241
ANA01,1976,6144
ANA01,1977,6073
ANA01,1978,6216
ANA01,1979,6215
ANA01,1980,6332
ANA01,1981,4104
ANA01,1982,6255
ANA01,1983,6316
ANA01,1984,6110
ANA01,1985,6044
ANA01,1986,6093
ANA01,1987,6295
ANA01,1988,6186
ANA01,1989,6073
ANA01,1990,6227
ANA01,1991,6009
ANA01,1992,6055
ANA01,1993,6203
ANA01,1994,4991
ANA01,1995,5593
ANA01,1996,6401
ANA01,1997,6531
ANA01,1998,6236
ANA01,1999,6230
ANA01,2000,6380
ANA01,2001,6277
ANA01,2002,6192
ANA01,2003,6166
ANA01,2004,6317
ANA01,2005,6115
ANA01,2006,6177
ANA01,2007,6245
ANA01,2008,6114
ANA01,2009,6241
ANA01,2010,6212
ANA01,2011,6063
ANA01,2012,5917
ANA01,2013,6295
ANA01,2014,6251
ANA01,2015,6016
ANA01,2016,6056
ANA01,2017,6025
ANA01,2018,6070
ANA01,2019,6179
ANA01,2020,2400
ANA01,2021,6193
ANA01,2022,6034
ANA01,2023,6209
ANA01,2024,6092
ANA01,2025,6136
ARL01,1972,5778
ARL01,1973,6259
ARL01,1974,6108
ARL01,1975,6200
ARL01,1976,6252
ARL01,1977,6236
ARL01,1978,6109
ARL01,1979,6189
ARL01,1980,6265
ARL01,1981,4165
ARL01,1982,6078
ARL01,1983,6155
ARL01,1984,6223
ARL01,1985,6047
ARL01,1986,6131
ARL01,1987,6423
ARL01,1988,6197
ARL01,1989,6154
ARL01,1990,6289
ARL01,1991,6337
ARL01,1992,6282
ARL01,1993,6114
ARL02,1994,4988
ARL02,1995,5652
ARL02,1996,6426
ARL02,1997,6355
ARL02,1998,6427
ARL02,1999,6388
ARL02,2000,6534
ARL02,2001,6561
ARL02,2002,6443
ARL02,2003,6399
ARL02,2004,6361
ARL02,2005,6328
ARL02,2006,6328
