season,pa,ratio_to_local_median,flag
1910,93062,1.0021,False
1911,94074,1.0152,False
1912,93258,1.006,False
1913,91906,0.9918,False
1914,92663,1.0005,False
1915,92423,0.9974,False
1916,92565,0.9989,False
1917,92739,1.0008,False
1918,76051,0.8207,False
1919,83997,0.9057,False
1920,94718,1.0,False
1921,95668,1.005,False
1922,96215,1.0086,False
1923,96259,1.0068,False
1924,95397,0.9974,False
1925,96279,1.0064,False
1926,95191,0.9902,False
1927,95609,0.9937,False
1928,95648,0.995,False
1929,96361,1.0075,False
1930,97265,1.0118,False
1931,96130,1.0,False
1932,96600,1.0046,False
1933,94646,0.9843,False
1934,95572,0.9939,False
1935,96211,1.0008,False
1936,97897,1.0184,False
1937,96160,1.0025,False
1938,95367,0.9943,False
1939,95917,1.0001,False
1940,95912,1.0,False
1941,96493,1.0086,False
1942,93963,0.9851,False
1943,95112,0.9971,False
1944,95666,1.0,False
1945,94805,0.991,False
1946,94934,0.9923,False
1947,95384,1.0,False
1948,95743,1.0034,False
1949,96207,1.007,False
1950,96474,1.011,False
1951,95794,1.0039,False
1952,94828,0.9938,False
1953,95423,1.0,False
1954,95540,1.0015,False
1955,95031,0.9978,False
1956,95240,1.0,False
1957,95398,1.0017,False
1958,94151,0.9869,False
1959,94544,0.991,False
1960,94783,0.9936,False
1961,109571,1.0,False
1962,124314,1.0215,False
1963,122361,1.0055,False
1964,122997,1.0094,False
1965,122765,1.0033,False
1966,121692,0.9913,False
1967,121848,0.9907,False
1968,120827,0.9824,False
1969,148201,1.0588,False
1970,149332,1.0179,False
1971,146705,0.9939,False
1972,139968,0.9444,False
1973,148794,1.0012,False
1974,148855,1.0004,False
1975,148621,0.9984,False
1976,147598,0.992,False
1977,161547,1.0853,False
1978,159114,1.0,False
1979,160378,1.0,False
1980,161131,1.0047,False
1981,105892,0.6595,False
1982,161104,1.003,False
1983,160615,1.0003,False
1984,160566,1.0,False
1985,160320,0.9985,False
1986,160858,1.0018,False
1987,161922,1.0084,False
1988,159380,0.9926,False
1989,160033,0.9968,False
1990,160316,1.0,False
1991,160746,1.0013,False
1992,160545,1.0,False
1993,174564,1.0873,False
1994,124483,0.7744,False
1995,156635,0.8973,False
1996,177261,1.0098,False
1997,175541,0.9903,False
1998,188206,1.0085,False
1999,189618,1.0141,False
2000,190261,1.0176,False
2001,186976,0.9975,False
2002,186615,0.9923,False
2003,187449,0.9967,False
2004,188539,1.0052,False
2005,186292,0.9938,False
2006,188071,1.0059,False
2007,188504,1.0082,False
2008,187571,1.0032,False
2009,186974,1.0037,False
2010,185553,1.0,False
2011,185245,1.0,False
2012,184179,0.9942,False
2013,184800,0.9989,False
2014,183929,0.9942,False
2015,183628,0.9937,False
2016,184580,1.0,False
2017,185295,1.0061,False
2018,185002,1.0049,False
2019,186517,1.0141,False
2020,66506,0.3622,False
2021,181818,0.9908,False
2022,182052,0.9952,False
2023,184104,1.0078,False
2024,182449,1.0,False
2025,182926,1.0037,False
